category,store,product_name,price,search_term,store_url
Notebooks,EarthHero,15% Off Our Dads Collection 💚 Use Code EHDAD15Shop!,75.0,eco notebook,https://earthhero.com
Notebooks,EarthHero,"Books, Magazines, and Notebooks Zero Waste Box",136.0,eco notebook,https://earthhero.com
Notebooks,EarthHero,"Books, Magazines, Notebooks and Jotters - Zero Waste Box",152.0,eco notebook,https://earthhero.com
Notebooks,EarthHero,Pocket Sized Ruled Spiral Decomposition Notebook,6.99,eco notebook,https://earthhero.com
Notebooks,EarthHero,Ruled Decomposition Notebook,10.99,eco notebook,https://earthhero.com
Notebooks,EarthHero,Ruled Spiral Decomposition Notebook,10.99,eco notebook,https://earthhero.com
Notebooks,EarthHero,Binders and Presentation Materials - Zero Waste Box,126.0,eco notebook,https://earthhero.com
Notebooks,EarthHero,Watercolor Paper Pad - Large,13.99,eco notebook,https://earthhero.com
Notebooks,EarthHero,Undercut Bamboo Cutting Board,23.99,eco notebook,https://earthhero.com
Notebooks,EarthHero,Watercolor Paper Pad - Small,8.99,eco notebook,https://earthhero.com
Notebooks,EarthHero,Wanderlust Cork Passport Holder,30.0,eco notebook,https://earthhero.com
Notebooks,EarthHero,Just Enough Cork Wallet,65.0,eco notebook,https://earthhero.com
Notebooks,EarthHero,"Wide Glass Smoothie Straw Set, 8"" or 10""",21.99,eco notebook,https://earthhero.com
Notebooks,EarthHero,Slim Wallet,19.99,eco notebook,https://earthhero.com
Notebooks,EarthHero,Standard Organic Cotton Pillow Protector,49.0,eco notebook,https://earthhero.com
Notebooks,EarthHero,Handmade Ceramic Cactus Coaster Set 4pk,33.0,eco notebook,https://earthhero.com
Notebooks,EarthHero,"Time Well-SpentEverything on our site is vetted through our 5-Pillar Sourcing Methodology, and our Community Experience team is always here to help through chat, call, or email.",75.0,eco notebook,https://earthhero.com
Notebooks,EarthHero,Skip to content,7637228355820.0,eco notebook,https://earthhero.com
Notebooks,EarthHero,Skip to content,1.0,eco notebook,https://earthhero.com
Notebooks,EarthHero,Grid Decomposition Notebook,10.99,sustainable notebook,https://earthhero.com
Notebooks,EarthHero,Zero Waste Sponge Cloth - Swedish Dish Cloth,5.49,sustainable notebook,https://earthhero.com
Notebooks,EarthHero,Noel Forest Recycled Gift Paper (3pk),9.99,recycled paper journal,https://earthhero.com
Notebooks,EarthHero,Organic Cotton Muslin Produce Bag,5.99,recycled paper journal,https://earthhero.com
Notebooks,EarthHero,"Straight Glass Straw Set, 6"", 8"" OR 10""",18.99,recycled paper journal,https://earthhero.com
Notebooks,EarthHero,Peace on Earth Recycled Gift Paper (3pk),9.99,recycled paper journal,https://earthhero.com
Notebooks,EarthHero,Home for the Holidays Recycled Gift Paper (3pk),9.99,recycled paper journal,https://earthhero.com
Notebooks,EarthHero,Happy Birthday Candles Recycled Gift Paper (3pk),9.99,recycled paper journal,https://earthhero.com
Notebooks,EarthHero,XL Ruled Spiral Decomposition Notebook,14.99,recycled paper journal,https://earthhero.com
Notebooks,EarthHero,Handloomed Rose Quartz Yoga Mat,191.0,recycled paper journal,https://earthhero.com
Notebooks,EarthHero,Hanukkah Doves Recycled Gift Paper (3pk),5.0,recycled paper journal,https://earthhero.com
Notebooks,EarthHero,Hanukkah Doves Recycled Gift Paper (3pk),9.99,recycled paper journal,https://earthhero.com
Notebooks,EarthHero,Rainbow Sails and Dots Recycled Gift Paper (3pk),9.99,recycled paper journal,https://earthhero.com
Notebooks,EarthHero,Recycled Paper Sticky Notes - 200ct,3.99,recycled paper journal,https://earthhero.com
Notebooks,EarthHero,Classic Bamboo Cutting & Serving Board,25.99,bamboo notebook,https://earthhero.com
Notebooks,EarthHero,Fellowship Cork Wallet,50.0,bamboo notebook,https://earthhero.com
Notebooks,EarthHero,Bamboo Kids Learning Numbers,39.95,bamboo notebook,https://earthhero.com
Notebooks,EarthHero,Bamboo Utensil Set,15.49,bamboo notebook,https://earthhero.com
Notebooks,EarthHero,Yoga Bamboo Root Board,208.0,bamboo notebook,https://earthhero.com
Notebooks,EarthHero,Bamboo and Wood Grain Finishing Oil,14.99,bamboo notebook,https://earthhero.com
Notebooks,EarthHero,Bamboo Nesting Bear Toy,31.95,bamboo notebook,https://earthhero.com
Notebooks,EarthHero,Bamboo Knife Set (5pk),12.99,bamboo notebook,https://earthhero.com
Notebooks,EarthHero,Bamboo Comforter,489.0,bamboo notebook,https://earthhero.com
Notebooks,EarthHero,Bamboo Nesting Hedgehog Toy,31.95,bamboo notebook,https://earthhero.com
Notebooks,EarthHero,The Haircare Duo + Bamboo Wide Tooth Comb,60.49,bamboo notebook,https://earthhero.com
Notebooks,EarthHero,The Haircare Duo + Bamboo Wide Tooth Comb,73.0,bamboo notebook,https://earthhero.com
