category,store,product_name,price,search_term,store_url
Phone Stand,EarthHero,15% Off Our Dads Collection 💚 Use Code EHDAD15Shop!,75.0,phone stand,https://earthhero.com
Phone Stand,EarthHero,Wooden Phone Wireless Charger,79.0,phone stand,https://earthhero.com
Phone Stand,EarthHero,Wooden Headphone Stand,49.0,phone stand,https://earthhero.com
Phone Stand,EarthHero,Triple Wooden iPhone Charging Dock,90.0,phone stand,https://earthhero.com
Phone Stand,EarthHero,"Time Well-SpentEverything on our site is vetted through our 5-Pillar Sourcing Methodology, and our Community Experience team is always here to help through chat, call, or email.",75.0,phone stand,https://earthhero.com
Phone Stand,EarthHero,Skip to content,7637228355820.0,phone stand,https://earthhero.com
Phone Stand,EarthHero,Skip to content,1.0,phone stand,https://earthhero.com
Phone Stand,EarthHero,Slim Wooden Phone Wireless Charger,59.0,wooden phone stand,https://earthhero.com
Phone Stand,EarthHero,"Bamboo Soap Shelf - Bamboo Soap Dish, Zero Waste, Compostable",9.99,wooden phone stand,https://earthhero.com
Phone Stand,EarthHero,Italian Olivewood Charcuterie Board - with Hole,50.0,wooden phone stand,https://earthhero.com
Phone Stand,EarthHero,Yoke Floor Stand,138.0,wooden phone stand,https://earthhero.com
Phone Stand,EarthHero,Classic Bamboo Cutting & Serving Board,25.99,wooden phone stand,https://earthhero.com
Phone Stand,EarthHero,Plastic-Free Toilet Brush,12.99,wooden phone stand,https://earthhero.com
Phone Stand,EarthHero,Balance Board,80.0,wooden phone stand,https://earthhero.com
Phone Stand,EarthHero,The Marquesa Bag,169.99,wooden phone stand,https://earthhero.com
Phone Stand,EarthHero,Balsa Wood Yoga Block,54.0,wooden phone stand,https://earthhero.com
Phone Stand,EarthHero,The Straw Kit,15.0,wooden phone stand,https://earthhero.com
Phone Stand,EarthHero,Undercut Bamboo Cutting Board,23.99,wooden phone stand,https://earthhero.com
Phone Stand,EarthHero,Wooden Laptop Stand,149.0,wooden phone stand,https://earthhero.com
Phone Stand,EarthHero,Wooden Smartphone Speaker,79.0,wooden phone stand,https://earthhero.com
Phone Stand,EarthHero,Wooden Laptop Docking Station,69.0,wooden phone stand,https://earthhero.com
Phone Stand,EarthHero,Italian Olivewood Parmesan Cheese Box Grater,40.0,wooden phone stand,https://earthhero.com
Phone Stand,EarthHero,Italian Pasta Chitarra with Rolling Pin - Large,55.0,wooden phone stand,https://earthhero.com
